GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AZ2001
"G1301410","1900","Georgia","130","Hancock","1410","Hancock",4649
"G1301430","1900","Georgia","130","Haralson","1430","Haralson",10280
"G1301450","1900","Georgia","130","Harris","1450","Harris",5823
"G1301470","1900","Georgia","130","Hart","1470","Hart",10467
"G1301490","1900","Georgia","130","Heard","1490","Heard",7163
"G1301510","1900","Georgia","130","Henry","1510","Henry",9213
"G1301530","1900","Georgia","130","Houston","1530","Houston",5635
"G1301550","1900","Georgia","130","Irwin","1550","Irwin",8960
"G1301570","1900","Georgia","130","Jackson","1570","Jackson",16433
"G1301590","1900","Georgia","130","Jasper","1590","Jasper",5388
"G1301630","1900","Georgia","130","Jefferson","1630","Jefferson",6634
"G1301670","1900","Georgia","130","Johnson","1670","Johnson",6878
"G1301690","1900","Georgia","130","Jones","1690","Jones",3908
"G1301750","1900","Georgia","130","Laurens","1750","Laurens",14569
"G1301770","1900","Georgia","130","Lee","1770","Lee",1507
"G1301790","1900","Georgia","130","Liberty","1790","Liberty",4479
"G1301810","1900","Georgia","130","Lincoln","1810","Lincoln",2883
"G1301850","1900","Georgia","130","Lowndes","1850","Lowndes",9347
"G1301870","1900","Georgia","130","Lumpkin","1870","Lumpkin",6951
"G1301890","1900","Georgia","130","McDuffie","1890","Mcduffie",3661
"G1301910","1900","Georgia","130","McIntosh","1910","Mcintosh",1456
"G1301930","1900","Georgia","130","Macon","1930","Macon",4302
"G1301950","1900","Georgia","130","Madison","1950","Madison",9339
"G1301970","1900","Georgia","130","Marion","1970","Marion",4231
